iter	Logloss
0	0.6813805425
1	0.6711624077
2	0.6613617115
3	0.6528716732
4	0.6450166015
5	0.6373895568
6	0.6296546653
7	0.622927292
8	0.6163006001
9	0.6110528611
10	0.6055125159
11	0.5996778634
12	0.5952440038
13	0.5911916784
14	0.5876211819
15	0.5828543762
16	0.5795177361
17	0.5756760546
18	0.5720952631
19	0.5687585414
20	0.5650836799
21	0.5622372112
22	0.5597512056
23	0.5571177672
24	0.5539985304
25	0.5516554149
26	0.5493932028
27	0.5468490296
28	0.5444911708
29	0.5421799045
30	0.5402506193
31	0.5381808345
32	0.5361694924
33	0.5343489024
34	0.5323795542
35	0.5305661618
36	0.5289450637
37	0.5271977175
38	0.5255212419
39	0.5239750716
40	0.5222513719
41	0.5205612311
42	0.5189936097
43	0.5174000908
44	0.5158083203
45	0.5141929506
46	0.5128904935
47	0.5115644717
48	0.5100315927
49	0.5086236516
50	0.5070670124
51	0.5055559476
52	0.5041381625
53	0.5027906487
54	0.5014191898
55	0.5003201833
56	0.4988738696
57	0.4976405002
58	0.4963018722
59	0.4952427439
60	0.4940700982
61	0.4928374892
62	0.4917013452
63	0.4904921055
64	0.4896753414
65	0.4885303759
66	0.4875012475
67	0.4864322302
68	0.4854900687
69	0.4844715767
70	0.4832880304
71	0.4822416349
72	0.4813803445
73	0.4803876147
74	0.4793073379
75	0.4783023306
76	0.4773591188
77	0.4764090701
78	0.4752730722
79	0.4743077798
80	0.4734034238
81	0.4725045707
82	0.4717206611
83	0.4708701533
84	0.4699492583
85	0.4689957988
86	0.4680674506
87	0.4672804416
88	0.4664846863
89	0.4656886432
90	0.4648168173
91	0.463898764
92	0.4631467811
93	0.46234435
94	0.4615344722
95	0.4608220216
96	0.4601197973
97	0.4593445997
98	0.4583277101
99	0.4576331495
100	0.4569311851
101	0.4562314502
102	0.4555974286
103	0.454916097
104	0.4542932575
105	0.4536164988
106	0.4528643484
107	0.452154703
108	0.4514389145
109	0.4506227798
110	0.4499737099
111	0.4492403623
112	0.4485469165
113	0.4480130758
114	0.4474420354
115	0.4468494686
116	0.4461805928
117	0.4455448808
118	0.4447050202
119	0.444139792
120	0.4435727575
121	0.4429374106
122	0.4422200736
123	0.4416573542
124	0.4411809101
125	0.4405146633
126	0.4399402786
127	0.4392246835
128	0.4386963651
129	0.4381748427
130	0.437621325
131	0.4370605838
132	0.4365490578
133	0.4360577115
134	0.4353946007
135	0.4348527118
136	0.4344147562
137	0.4338724463
138	0.4334508514
139	0.432946319
140	0.4324825218
141	0.4319597064
142	0.4314500534
143	0.4308432953
144	0.4304054213
145	0.4300180964
146	0.429358216
147	0.4288827084
148	0.4283668479
149	0.42783752
150	0.4273731709
151	0.4269089656
152	0.4264153919
153	0.4258016681
154	0.4253652547
155	0.4249045333
156	0.4244974282
157	0.4240303834
158	0.4235456591
159	0.4231123258
160	0.4226492246
161	0.4221785197
162	0.4217278463
163	0.4211514146
164	0.4206301071
165	0.4201305364
166	0.4196827626
167	0.4192274841
168	0.4187468666
169	0.4183877309
170	0.4180143008
171	0.4176118009
172	0.417235411
173	0.4167731087
174	0.4162924719
175	0.4159181225
176	0.4155321959
177	0.4150416142
178	0.41467614
179	0.4143204732
180	0.4139653133
181	0.4135931548
182	0.4131761779
183	0.4127774067
184	0.4123347794
185	0.4119304988
186	0.4115111763
187	0.4111379117
188	0.4107110694
189	0.4102913968
190	0.4099001906
191	0.4095746869
192	0.409131252
193	0.4086870761
194	0.4083979409
195	0.4080357315
196	0.407678254
197	0.4073141631
198	0.4069734629
199	0.4065909386
200	0.4061506997
201	0.4056869906
202	0.4053448149
203	0.4049634461
204	0.4046565563
205	0.4043137469
206	0.403961869
207	0.4035821262
208	0.4031129678
209	0.4027743855
210	0.4023837743
211	0.4020554418
212	0.4017294871
213	0.401304187
214	0.4010041426
215	0.4006355926
216	0.4003142688
217	0.4000272149
218	0.3996694926
219	0.3992852241
220	0.399010916
221	0.3986602689
222	0.3982827041
223	0.3978832198
224	0.397532665
225	0.397259491
226	0.3969493256
227	0.3966109602
228	0.3962433897
229	0.3959171622
230	0.3956108265
231	0.3952659379
232	0.3949855018
233	0.3945895165
234	0.394097354
235	0.3937551202
236	0.3934593351
237	0.3931074808
238	0.3927871
239	0.3924826459
240	0.3921719693
241	0.3918271902
242	0.3915143786
243	0.3911227385
244	0.3908533685
245	0.3905293941
246	0.3902289395
247	0.3899614553
248	0.3896442211
249	0.389341189
250	0.3890481554
251	0.3886827929
252	0.3883760813
253	0.388058308
254	0.3877310345
255	0.3873585516
256	0.3870238699
257	0.3866813247
258	0.3863613971
259	0.3860634619
260	0.3857484852
261	0.3854705213
262	0.3849905676
263	0.384716674
264	0.3840987618
265	0.3837828486
266	0.3834818419
267	0.3831824569
268	0.3828290132
269	0.3823731397
270	0.3820980154
271	0.3818437967
272	0.3815289854
273	0.3812288422
274	0.3808986926
275	0.3805614506
276	0.3800125895
277	0.3796559755
278	0.3793650747
279	0.3790484699
280	0.3787275757
281	0.3784077704
282	0.3781123247
283	0.3778298546
284	0.3775023469
285	0.3772269584
286	0.3769214948
287	0.3766416215
288	0.3761628555
289	0.3758711665
290	0.375561145
291	0.3752116684
292	0.3749388918
293	0.3746825038
294	0.3743604626
295	0.3740926841
296	0.3738501802
297	0.3735813278
298	0.3732499088
299	0.3729378339
300	0.372641746
301	0.3723598536
302	0.3720967233
303	0.3715225877
304	0.3712558381
305	0.3710138368
306	0.3707391249
307	0.3704322523
308	0.3701334129
309	0.3698363089
310	0.3695520968
311	0.3692873212
312	0.3690345073
313	0.368781848
314	0.3684860114
315	0.3681510719
316	0.3678673495
317	0.3675542093
318	0.3672472206
319	0.3669230938
320	0.3665704555
321	0.3663186877
322	0.3660229842
323	0.3657415515
324	0.3654979714
325	0.3652049765
326	0.3649287653
327	0.3646617215
328	0.3643686299
329	0.3640816813
330	0.3638201104
331	0.3635804417
332	0.3632962854
333	0.3630358593
334	0.362760009
335	0.3624898056
336	0.3622372967
337	0.3619922797
338	0.3616903601
339	0.3611890496
340	0.3609575559
341	0.3607001691
342	0.360462788
343	0.3601948077
344	0.3599185041
345	0.3596897705
346	0.3594398198
347	0.3592109766
348	0.3589490964
349	0.3586925257
350	0.3584158335
351	0.3581533045
352	0.3579109982
353	0.3576785659
354	0.3574212091
355	0.3571636849
356	0.356930344
357	0.3566834153
358	0.3563529371
359	0.3561016332
360	0.3558819401
361	0.3556741594
362	0.3554476897
363	0.3552009308
364	0.3549310302
365	0.3545842536
366	0.3543059267
367	0.3540989515
368	0.3538771836
369	0.3536511005
370	0.3533853539
371	0.3531711102
372	0.3528860238
373	0.3527011742
374	0.3524158559
375	0.3522071495
376	0.3519513435
377	0.3516819219
378	0.3514535814
379	0.3512389488
380	0.3510277099
381	0.3508086011
382	0.3504911629
383	0.350281956
384	0.3500595802
385	0.3498333231
386	0.3495367862
387	0.3493236357
388	0.349057204
389	0.3487119589
390	0.3484652386
391	0.3482395958
392	0.3480036688
393	0.3477909501
394	0.3475980587
395	0.3473086164
396	0.3470728934
397	0.3468432598
398	0.3465894643
399	0.3463691935
400	0.3461610863
401	0.3459534387
402	0.3457613206
403	0.3455256191
404	0.3453388901
405	0.3451201508
406	0.3449060208
407	0.3446772636
408	0.3444407652
409	0.3442501743
410	0.3440292547
411	0.3438169741
412	0.3435109671
413	0.3433233059
414	0.3430884314
415	0.3428429462
416	0.3426309019
417	0.3424455239
418	0.342231381
419	0.3420266955
420	0.3418004169
421	0.3416106164
422	0.3414278567
423	0.3412263694
424	0.3409820698
425	0.3407910729
426	0.3405648481
427	0.3403554006
428	0.3401377545
429	0.3399397274
430	0.339719768
431	0.3395208818
432	0.3393024969
433	0.3391030264
434	0.3388977953
435	0.338705834
436	0.3384949688
437	0.3382675669
438	0.3380953686
439	0.3379018844
440	0.3376715892
441	0.3375120528
442	0.3372640717
443	0.3370784016
444	0.3367379592
445	0.3365619269
446	0.3363659339
447	0.33616377
448	0.3359983461
449	0.3358090912
450	0.3355675109
451	0.3353917234
452	0.3351813243
453	0.3349668228
454	0.3347202658
455	0.334462299
456	0.3342792386
457	0.3340610985
458	0.3338926676
459	0.3337344801
460	0.333563287
461	0.3333883758
462	0.3331944427
463	0.332887802
464	0.3326606493
465	0.3324449385
466	0.3322750856
467	0.332061454
468	0.331836288
469	0.3316018001
470	0.3313727765
471	0.3312229767
472	0.3309833252
473	0.3308219845
474	0.3306588224
475	0.3304334181
476	0.3301426247
477	0.3299653487
478	0.3297689154
479	0.3295421321
480	0.3293198143
481	0.3291271334
482	0.3289478792
483	0.3287801571
484	0.3285857772
485	0.3284015527
486	0.3281931082
487	0.3280229268
488	0.3278594575
489	0.3277190956
490	0.3275166696
491	0.3273156871
492	0.3271367099
493	0.3269627524
494	0.3268114296
495	0.326649363
496	0.3264744454
497	0.3263254423
498	0.3261409858
499	0.3259522013
500	0.3257720019
501	0.3256127104
502	0.3254513912
503	0.3252587275
504	0.3251065499
505	0.3248675965
506	0.3247325077
507	0.3245540503
508	0.3244040807
509	0.3242246654
510	0.3240424319
511	0.3238929048
512	0.3237650695
513	0.3235835514
514	0.3232636473
515	0.323045475
516	0.3228926895
517	0.3227418973
518	0.3225724418
519	0.3224070008
520	0.3222252743
521	0.32195166
522	0.3218402948
523	0.3216796394
524	0.3215181205
525	0.3213454496
526	0.3211622775
527	0.3210012934
528	0.3208444827
529	0.3206806677
530	0.3205282452
531	0.3203405303
532	0.3201840117
533	0.3200270764
534	0.3198385819
535	0.3196878154
536	0.3195082604
537	0.3193807688
538	0.3192374341
539	0.3190845691
540	0.318860097
541	0.3187648885
542	0.3185972222
543	0.3184262826
544	0.3182546212
545	0.318094348
546	0.3179535973
547	0.3177865626
548	0.3176347952
549	0.317476642
550	0.3173257725
551	0.3172138811
552	0.3170678938
553	0.3168455631
554	0.316705882
555	0.316535997
556	0.3163579155
557	0.31616267
558	0.3160046071
559	0.3157918324
560	0.315635606
561	0.3154919448
562	0.3153094859
563	0.3151567261
564	0.314948475
565	0.3148105789
566	0.314614311
567	0.3144321119
568	0.3142852096
569	0.3141239549
570	0.3139264734
571	0.3137608563
572	0.3135724261
573	0.3134137424
574	0.3132199339
575	0.3129600426
576	0.312808896
577	0.3126317746
578	0.3124846424
579	0.3123124333
580	0.3121794945
581	0.3121026336
582	0.3119498867
583	0.3117721038
584	0.3116186911
585	0.3114646469
586	0.3113041955
587	0.3111743734
588	0.3109984892
589	0.3108475616
590	0.3106870093
591	0.3104916972
592	0.3103176173
593	0.3101514675
594	0.3100303723
595	0.3098812511
596	0.3095129718
597	0.3093185038
598	0.3091814174
599	0.3090333187
600	0.3088806427
601	0.3087801998
602	0.3086440391
603	0.3085050153
604	0.308362615
605	0.3082009178
606	0.3080931505
607	0.3079297134
608	0.307746565
609	0.307625893
610	0.3074306583
611	0.3072852122
612	0.3070481812
613	0.3069043482
614	0.30675103
615	0.3066043875
616	0.3064546585
617	0.3063028439
618	0.3062210276
619	0.306071058
620	0.3059352175
621	0.305763236
622	0.3056212954
623	0.3054779865
624	0.3053514313
625	0.3051833312
626	0.3050511807
627	0.3049169897
628	0.3047022841
629	0.3045652579
630	0.3044316511
631	0.304277725
632	0.3041343732
633	0.3039879026
634	0.3037485711
635	0.3036866446
636	0.3035464072
637	0.3033928807
638	0.3032278521
639	0.3030733182
640	0.3029273093
641	0.3028040405
642	0.3026993167
643	0.3025706222
644	0.3024311914
645	0.3023285705
646	0.3022667223
647	0.3021480114
648	0.3019641906
649	0.3018059
650	0.3014788993
651	0.3013424207
652	0.3012664844
653	0.3011650341
654	0.3010625173
655	0.3009482998
656	0.3008113949
657	0.3006729876
658	0.3005503663
659	0.3004359361
660	0.3003000451
661	0.3001397494
662	0.3000057409
663	0.2998596333
664	0.2996842292
665	0.2995463782
666	0.2994002297
667	0.2993162935
668	0.2991040741
669	0.2990319675
670	0.2988009882
671	0.2986434397
672	0.298455597
673	0.2983226884
674	0.2982026843
