,review_text,review_date,review_title,review_stars,product_category,text,tokenized,stopwords_removed,porter_stemmed,all_text,SGDClassifier,CatBoostClassifier,LinearSVC,RidgeClassifier,LGBMClassifier,XGBClassifier,MultinomialNB,BaggingClassifier,AdaBoostClassifier,Result
0,A little expensive,Reviewed in India on 9 November 2022,"4.0 out of 5 stars
Price is relatively high",4.0 out of 5 stars,Toys & Games,A little expensive,"['A', 'little', 'expensive']","['A', 'little', 'expensive']","['a', 'littl', 'expens']",a littl expens,0,0,0,0,0,0,0,0,0,0
1,Comaretively small item,Reviewed in India on 19 January 2023,"3.0 out of 5 stars
Not worth but kids enjoying",3.0 out of 5 stars,Toys & Games,Comaretively small item,"['Comaretively', 'small', 'item']","['Comaretively', 'small', 'item']","['comaret', 'small', 'item']",comaret small item,1,0,1,1,0,0,1,0,0,0
2,Wow! Such a Fantastic way to keep children busy and learn some mathematical skills at the same time. Its really satisfying as I purchased it for my nephew and he likes to play with it and also solve some sums. Totally worthy product.,Reviewed in India on 7 May 2023,"5.0 out of 5 stars
Fabulous way to learn and enjoy",5.0 out of 5 stars,Toys & Games,Wow! Such a Fantastic way to keep children busy and learn some mathematical skills at the same time. Its really satisfying as I purchased it for my nephew and he likes to play with it and also solve some sums. Totally worthy product.,"['Wow', 'Such', 'a', 'Fantastic', 'way', 'to', 'keep', 'children', 'busy', 'and', 'learn', 'some', 'mathematical', 'skills', 'at', 'the', 'same', 'time', 'Its', 'really', 'satisfying', 'as', 'I', 'purchased', 'it', 'for', 'my', 'nephew', 'and', 'he', 'likes', 'to', 'play', 'with', 'it', 'and', 'also', 'solve', 'some', 'sums', 'Totally', 'worthy', 'product']","['Wow', 'Such', 'Fantastic', 'way', 'keep', 'children', 'busy', 'learn', 'mathematical', 'skills', 'time', 'Its', 'really', 'satisfying', 'I', 'purchased', 'nephew', 'likes', 'play', 'also', 'solve', 'sums', 'Totally', 'worthy', 'product']","['wow', 'such', 'fantast', 'way', 'keep', 'children', 'busi', 'learn', 'mathemat', 'skill', 'time', 'it', 'realli', 'satisfi', 'i', 'purchas', 'nephew', 'like', 'play', 'also', 'solv', 'sum', 'total', 'worthi', 'product']",wow such fantast way keep children busi learn mathemat skill time it realli satisfi i purchas nephew like play also solv sum total worthi product,0,0,0,0,0,1,0,1,0,0
3,"Product is OKAY This is a made in China Product, but Seller is selling it as Made in India Product.",Reviewed in India on 8 October 2022,"3.0 out of 5 stars
This is a made in China Product",3.0 out of 5 stars,Toys & Games,"Product is OKAY This is a made in China Product, but Seller is selling it as Made in India Product.","['Product', 'is', 'OKAY', 'This', 'is', 'a', 'made', 'in', 'China', 'Product', 'but', 'Seller', 'is', 'selling', 'it', 'as', 'Made', 'in', 'India', 'Product']","['Product', 'OKAY', 'This', 'made', 'China', 'Product', 'Seller', 'selling', 'Made', 'India', 'Product']","['product', 'okay', 'thi', 'made', 'china', 'product', 'seller', 'sell', 'made', 'india', 'product']",product okay thi made china product seller sell made india product,0,0,0,0,0,0,0,0,0,0
4,"With the help of this magnetic arithmetic, kids may quickly learn the fundamentals of mathematics.It is imprinted with large, coloured numbers. Very easily portable. Should try this.",Reviewed in India on 11 May 2023,"5.0 out of 5 stars
Knowledgeble",5.0 out of 5 stars,Toys & Games,"With the help of this magnetic arithmetic, kids may quickly learn the fundamentals of mathematics.It is imprinted with large, coloured numbers. Very easily portable. Should try this.","['With', 'the', 'help', 'of', 'this', 'magnetic', 'arithmetic', 'kids', 'may', 'quickly', 'learn', 'the', 'fundamentals', 'of', 'is', 'imprinted', 'with', 'large', 'coloured', 'numbers', 'Very', 'easily', 'portable', 'Should', 'try', 'this']","['With', 'help', 'magnetic', 'arithmetic', 'kids', 'may', 'quickly', 'learn', 'fundamentals', 'imprinted', 'large', 'coloured', 'numbers', 'Very', 'easily', 'portable', 'Should', 'try']","['with', 'help', 'magnet', 'arithmet', 'kid', 'may', 'quickli', 'learn', 'fundament', 'imprint', 'larg', 'colour', 'number', 'veri', 'easili', 'portabl', 'should', 'tri']",with help magnet arithmet kid may quickli learn fundament imprint larg colour number veri easili portabl should tri,0,1,0,0,1,1,0,1,1,1
5,Really very much high priced for a small magetic toy not so sturdy for the price,Reviewed in India on 4 April 2023,"2.0 out of 5 stars
Price is too high",2.0 out of 5 stars,Toys & Games,Really very much high priced for a small magetic toy not so sturdy for the price,"['Really', 'very', 'much', 'high', 'priced', 'for', 'a', 'small', 'magetic', 'toy', 'not', 'so', 'sturdy', 'for', 'the', 'price']","['Really', 'much', 'high', 'priced', 'small', 'magetic', 'toy', 'sturdy', 'price']","['realli', 'much', 'high', 'price', 'small', 'maget', 'toy', 'sturdi', 'price']",realli much high price small maget toy sturdi price,0,1,1,1,1,1,0,1,1,1
6,This is definitely a great approach to keep kids occupied while also teaching them a few maths concepts. Never thought it could be so easy..Definitely a worthy product.,Reviewed in India on 9 May 2023,"5.0 out of 5 stars
Great way to Learn Mathematics.",5.0 out of 5 stars,Toys & Games,This is definitely a great approach to keep kids occupied while also teaching them a few maths concepts. Never thought it could be so easy..Definitely a worthy product.,"['This', 'is', 'definitely', 'a', 'great', 'approach', 'to', 'keep', 'kids', 'occupied', 'while', 'also', 'teaching', 'them', 'a', 'few', 'maths', 'concepts', 'Never', 'thought', 'it', 'could', 'be', 'so', 'easy', 'Definitely', 'a', 'worthy', 'product']","['This', 'definitely', 'great', 'approach', 'keep', 'kids', 'occupied', 'also', 'teaching', 'maths', 'concepts', 'Never', 'thought', 'could', 'easy', 'Definitely', 'worthy', 'product']","['thi', 'definit', 'great', 'approach', 'keep', 'kid', 'occupi', 'also', 'teach', 'math', 'concept', 'never', 'thought', 'could', 'easi', 'definit', 'worthi', 'product']",thi definit great approach keep kid occupi also teach math concept never thought could easi definit worthi product,0,0,1,1,0,0,0,0,0,0
7,Kids can easily learn basic numbers with the help of this magnetic arithmetic.It has bold numerals inscribed on it in colour. Easily portable & a must-try.,Reviewed in India on 28 April 2023,"5.0 out of 5 stars
Good way to learn maths",5.0 out of 5 stars,Toys & Games,Kids can easily learn basic numbers with the help of this magnetic arithmetic.It has bold numerals inscribed on it in colour. Easily portable & a must-try.,"['Kids', 'can', 'easily', 'learn', 'basic', 'numbers', 'with', 'the', 'help', 'of', 'this', 'magnetic', 'has', 'bold', 'numerals', 'inscribed', 'on', 'it', 'in', 'colour', 'Easily', 'portable', 'a']","['Kids', 'easily', 'learn', 'basic', 'numbers', 'help', 'magnetic', 'bold', 'numerals', 'inscribed', 'colour', 'Easily', 'portable']","['kid', 'easili', 'learn', 'basic', 'number', 'help', 'magnet', 'bold', 'numer', 'inscrib', 'colour', 'easili', 'portabl']",kid easili learn basic number help magnet bold numer inscrib colour easili portabl,0,0,0,0,0,0,0,1,1,0
8,Pieces are completely separate and joined by mangnet only... Kids can easily loss its pieces in no time.Not value for money.,Reviewed in India on 21 June 2023,"1.0 out of 5 stars
Very small, and not upto the expectations.",1.0 out of 5 stars,Toys & Games,Pieces are completely separate and joined by mangnet only... Kids can easily loss its pieces in no time.Not value for money.,"['Pieces', 'are', 'completely', 'separate', 'and', 'joined', 'by', 'mangnet', 'only', 'Kids', 'can', 'easily', 'loss', 'its', 'pieces', 'in', 'no', 'value', 'for', 'money']","['Pieces', 'completely', 'separate', 'joined', 'mangnet', 'Kids', 'easily', 'loss', 'pieces', 'value', 'money']","['piec', 'complet', 'separ', 'join', 'mangnet', 'kid', 'easili', 'loss', 'piec', 'valu', 'money']",piec complet separ join mangnet kid easili loss piec valu money,0,0,0,0,0,0,0,0,0,0
9,It's good for kids can improve in mathematic skill.........just playing with toys,Reviewed in India on 8 May 2023,"5.0 out of 5 stars
Magnetic table",5.0 out of 5 stars,Toys & Games,It's good for kids can improve in mathematic skill.........just playing with toys,"['It', 'good', 'for', 'kids', 'can', 'improve', 'in', 'mathematic', 'skill', 'just', 'playing', 'with', 'toys']","['It', 'good', 'kids', 'improve', 'mathematic', 'skill', 'playing', 'toys']","['it', 'good', 'kid', 'improv', 'mathemat', 'skill', 'play', 'toy']",it good kid improv mathemat skill play toy,0,0,0,0,0,0,0,0,0,0
