,review_text,review_date,review_title,review_stars,product_category
0,A little expensive,Reviewed in India on 9 November 2022,"4.0 out of 5 stars
Price is relatively high",4.0 out of 5 stars,Toys & Games
1,Comaretively small item,Reviewed in India on 19 January 2023,"3.0 out of 5 stars
Not worth but kids enjoying",3.0 out of 5 stars,Toys & Games
2,Wow! Such a Fantastic way to keep children busy and learn some mathematical skills at the same time. Its really satisfying as I purchased it for my nephew and he likes to play with it and also solve some sums. Totally worthy product.,Reviewed in India on 7 May 2023,"5.0 out of 5 stars
Fabulous way to learn and enjoy",5.0 out of 5 stars,Toys & Games
3,"Product is OKAY This is a made in China Product, but Seller is selling it as Made in India Product.",Reviewed in India on 8 October 2022,"3.0 out of 5 stars
This is a made in China Product",3.0 out of 5 stars,Toys & Games
4,"With the help of this magnetic arithmetic, kids may quickly learn the fundamentals of mathematics.It is imprinted with large, coloured numbers. Very easily portable. Should try this.",Reviewed in India on 11 May 2023,"5.0 out of 5 stars
Knowledgeble",5.0 out of 5 stars,Toys & Games
5,Really very much high priced for a small magetic toy not so sturdy for the price,Reviewed in India on 4 April 2023,"2.0 out of 5 stars
Price is too high",2.0 out of 5 stars,Toys & Games
6,This is definitely a great approach to keep kids occupied while also teaching them a few maths concepts. Never thought it could be so easy..Definitely a worthy product.,Reviewed in India on 9 May 2023,"5.0 out of 5 stars
Great way to Learn Mathematics.",5.0 out of 5 stars,Toys & Games
7,Kids can easily learn basic numbers with the help of this magnetic arithmetic.It has bold numerals inscribed on it in colour. Easily portable & a must-try.,Reviewed in India on 28 April 2023,"5.0 out of 5 stars
Good way to learn maths",5.0 out of 5 stars,Toys & Games
8,Pieces are completely separate and joined by mangnet only... Kids can easily loss its pieces in no time.Not value for money.,Reviewed in India on 21 June 2023,"1.0 out of 5 stars
Very small, and not upto the expectations.",1.0 out of 5 stars,Toys & Games
9,It's good for kids can improve in mathematic skill.........just playing with toys,Reviewed in India on 8 May 2023,"5.0 out of 5 stars
Magnetic table",5.0 out of 5 stars,Toys & Games
10,"I purchased arithmetical learning toy for divansh and it's fabulous. On the one hand Divansh enjoy playing with it and also enhancing his mathematical skills. Quality of the product is superb, It is helping in improving brain power too.",Reviewed in India 🇮🇳 on 24 March 2023,"5.0 out of 5 stars
Interesting learning toy",5.0 out of 5 stars,Toys & Games
11,This magnetic arithmetic for kids is great for making them learn simple maths.It's colorful with bold numbers written.Easy to carry anywhere. Must try out.,Reviewed in India 🇮🇳 on 3 April 2023,"5.0 out of 5 stars
Good Option To Learn!!",5.0 out of 5 stars,Toys & Games
12,"Product quality is good, however numbers have faded already within a week.",Reviewed in India 🇮🇳 on 3 September 2022,"4.0 out of 5 stars
Good quality product",4.0 out of 5 stars,Toys & Games
13,Kids can benefit greatly from it in terms of improving their mathematical abilities. Having a trustbox such as this is a lot of fun for my nephew because it is colorful and attractive.,Reviewed in India 🇮🇳 on 21 January 2023,"5.0 out of 5 stars
Simple maths learning toy for small kids",5.0 out of 5 stars,Toys & Games
14,The media could not be loaded.,Reviewed in India 🇮🇳 on 4 September 2022,"4.0 out of 5 stars
2 sets are Repellent to each other",4.0 out of 5 stars,Toys & Games
15,"The media could not be loaded.
                



 The trust box educational toys is very helpfull...my kid really liked it and it's useful product ..its magnetic one so it attractive for kids ...quality also good ...people who looking for educational toy can take this ..Thank you fr this good product",Reviewed in India 🇮🇳 on 9 December 2022,"5.0 out of 5 stars
Very good product",5.0 out of 5 stars,Toys & Games
16,Within fifteen days numbers display was erased. Totally waste,Reviewed in India 🇮🇳 on 18 May 2023,"1.0 out of 5 stars
Waste",1.0 out of 5 stars,Toys & Games
17,This toy is very much helpful for kids to learn and improve mathematics. The colours are highly attractive and perfectly handy in size. My four year old kiddo is already in love with this magnetic toy!,Reviewed in India 🇮🇳 on 6 November 2022,"5.0 out of 5 stars
Perfect learning toy",5.0 out of 5 stars,Toys & Games
18,Not worth. It's too tiny and non compact able,Reviewed in India 🇮🇳 on 10 May 2023,"1.0 out of 5 stars
Bad purchase",1.0 out of 5 stars,Toys & Games
19,Good product for kids to improve the mathematical ability.  My niece loved the product.,Reviewed in India 🇮🇳 on 9 December 2022,"5.0 out of 5 stars
Over all good product",5.0 out of 5 stars,Toys & Games
20,"The media could not be loaded.
                



 Its compact , colorful and fun way to play with numbers. my kid is able to get interest in learning while playing. The product quality is nice too.",Reviewed in India on 12 November 2022,"5.0 out of 5 stars
Good product",5.0 out of 5 stars,Toys & Games
21,"Great product, fun and educational 👍",Reviewed in India on 26 December 2022,"5.0 out of 5 stars
Great product, fun and educational 👍",5.0 out of 5 stars,Toys & Games
22,"The media could not be loaded.
                



 It is sooo usefull to my kid education to learn basic.",Reviewed in India on 9 December 2022,"5.0 out of 5 stars
It soo usefull to my kid education to learn basic.",5.0 out of 5 stars,Toys & Games
23,Very Useful & multipurpose Educational toy. it's perfect magnetic toy for counting. Totally there are 12 pieces with 6 different colours.This is a really fun magnetic number game for kids.. Easy way to play and learn while enjoying..colours are very attractive....My four years kid just loved it.😍Definitely you can go for it.,Reviewed in India on 3 April 2022,"5.0 out of 5 stars
Excellent magnetic toy for math counting",5.0 out of 5 stars,Toys & Games
24,Does not serve thr purpose..,Reviewed in India on 21 April 2023,"1.0 out of 5 stars
Does not serve the purpose...if u align one row correctly..all the other rows go incorrect",1.0 out of 5 stars,Toys & Games
25,"My daughter liked it, she always asking me to give the numbers in the toy to calculate addition and subtraction and asking her friends for competition. It, really engaging and fun learning math toy.",Reviewed in India on 11 May 2022,"5.0 out of 5 stars
Easy Learning and Engaging",5.0 out of 5 stars,Toys & Games
26,The product is great. My niece loved it. Learning with colours. Very handy with perfect size,Reviewed in India on 21 July 2022,"5.0 out of 5 stars
Very handy and perfect size for kids",5.0 out of 5 stars,Toys & Games
27,"The media could not be loaded.
                



 This makes learning maths fun. As it's magnetic children have fun learning how magnetic forces attract and repel, so a bit if science knowledge as well.",Reviewed in India on 17 March 2022,"5.0 out of 5 stars
Fun learning math toy",5.0 out of 5 stars,Toys & Games
28,,Reviewed in India on 25 July 2022,"5.0 out of 5 stars
Good",5.0 out of 5 stars,Toys & Games
29,My kids are playing and enjoying with this product.Easy way to play & learn while enjoying.,Reviewed in India on 22 March 2022,"5.0 out of 5 stars
Very useful product and excellent. Especially for kids.",5.0 out of 5 stars,Toys & Games
30,Good quality magnetic material 2 sets.. easy to hold..engaging for my 5 year old.,Reviewed in India on 19 March 2022,"5.0 out of 5 stars
Engaging",5.0 out of 5 stars,Toys & Games
31,It is very small and not mach any number total waste of money.,Reviewed in India on 2 December 2022,"1.0 out of 5 stars
Waste of money",1.0 out of 5 stars,Toys & Games
32,not worth buying....,Reviewed in India on 25 December 2022,"1.0 out of 5 stars
not that great. very expensive.. n no return option",1.0 out of 5 stars,Toys & Games
33,,Reviewed in India on 1 January 2023,"1.0 out of 5 stars
Bad quality",1.0 out of 5 stars,Toys & Games
34,Bad experience,Reviewed in India on 27 December 2022,"1.0 out of 5 stars
Some items in product were missing and it’s not up to expectations",1.0 out of 5 stars,Toys & Games
35,Very small in size and not aligned with numbers properly. Not worth to buy in this price.,Reviewed in India on 5 August 2022,"1.0 out of 5 stars
Not worth for this price",1.0 out of 5 stars,Toys & Games
36,good one but it is very small. it would have been better if size of the item is little bigger.,Reviewed in India on 15 July 2022,"3.0 out of 5 stars
good one but item size is very small.",3.0 out of 5 stars,Toys & Games
37,This magnetic arithmetic for kids is great for making them learn simple maths.It's colorful with bold numbers written.Easy to carry anywhere. Must try out.👍👍,Reviewed in India on 7 April 2023,"5.0 out of 5 stars
Good option for kids👍",5.0 out of 5 stars,Toys & Games
38,It's an Educational Toy. My kid loves playing with it and yes he is learning with this toy too. So my kid is learning the things while playing with this toy. The colours of the toy are very bright so it's engaging my kid for a long time.,Reviewed in India on 6 May 2023,"5.0 out of 5 stars
Very useful toy",5.0 out of 5 stars,Toys & Games
39,"The media could not be loaded.
                



 This is one of the most important toy cum study material for kids. It makes mathematics easy n fun for them. Very good quality magnets. Value for money. Kids cn learn maths very easily using these magnets .must buy",Reviewed in India on 22 July 2022,"5.0 out of 5 stars
Must have to kids to learn arithmetic",5.0 out of 5 stars,Toys & Games
